Dim1,year,month,day,hour,val
Generator,2041,12,31,12,81.1
Generator,2042,12,31,12,81.1
Generator,2043,12,31,12,81.1
Generator,2044,12,31,12,81.1
Generator,2045,12,31,12,81.1
Generator,2046,12,31,12,81.1
Generator,2047,12,31,12,81.1
Generator,2048,12,31,12,81.1
Generator,2049,12,31,12,81.1
Generator,2050,12,31,12,81.1
Generator,2051,12,31,12,81.1
Generator,2052,12,31,12,81.1
Generator,2023,12,31,12,6.0
Generator,2024,12,31,12,6.0
Generator,2025,12,31,12,6.0
Generator,2026,12,31,12,6.0
Generator,2027,12,31,12,6.0
Generator,2028,12,31,12,6.0
Generator,2029,12,31,12,6.0
Generator,2030,12,31,12,6.0
Generator,2031,12,31,12,6.0
Generator,2032,12,31,12,6.0
Generator,2033,12,31,12,6.0
Generator,2034,12,31,12,6.0
Generator,2035,12,31,12,6.0
Generator,2036,12,31,12,6.0
Generator,2037,12,31,12,6.0
Generator,2038,12,31,12,6.0
Generator,2039,12,31,12,6.0
Generator,2040,12,31,12,6.0
Generator,2041,12,31,12,6.0
Generator,2042,12,31,12,6.0
Generator,2043,12,31,12,6.0
Generator,2044,12,31,12,6.0
Generator,2045,12,31,12,6.0
Generator,2046,12,31,12,6.0
Generator,2047,12,31,12,6.0
Generator,2048,12,31,12,6.0
Generator,2049,12,31,12,6.0
Generator,2050,12,31,12,6.0
Generator,2051,12,31,12,6.0
Generator,2052,12,31,12,6.0
Generator,2023,12,31,12,80.0
Generator,2024,12,31,12,80.0
Generator,2025,12,31,12,80.0
Generator,2026,12,31,12,80.0
Generator,2027,12,31,12,80.0
Generator,2028,12,31,12,80.0
Generator,2029,12,31,12,80.0
Generator,2030,12,31,12,80.0
Generator,2031,12,31,12,80.0
Generator,2032,12,31,12,80.0
Generator,2033,12,31,12,80.0
Generator,2034,12,31,12,80.0
Generator,2035,12,31,12,80.0
Generator,2036,12,31,12,80.0
Generator,2037,12,31,12,80.0
Generator,2038,12,31,12,80.0
Generator,2039,12,31,12,80.0
Generator,2040,12,31,12,80.0
Generator,2041,12,31,12,80.0
Generator,2042,12,31,12,80.0
Generator,2043,12,31,12,80.0
Generator,2044,12,31,12,80.0
Generator,2045,12,31,12,80.0
Generator,2046,12,31,12,80.0
Generator,2047,12,31,12,80.0
Generator,2048,12,31,12,80.0
Generator,2049,12,31,12,80.0
Generator,2050,12,31,12,80.0
Generator,2051,12,31,12,80.0
Generator,2052,12,31,12,80.0
Generator,2023,12,31,12,80.0
Generator,2024,12,31,12,80.0
Generator,2025,12,31,12,80.0
Generator,2026,12,31,12,80.0
Generator,2027,12,31,12,80.0
Generator,2028,12,31,12,80.0
Generator,2029,12,31,12,80.0
Generator,2030,12,31,12,80.0
Generator,2031,12,31,12,80.0
Generator,2032,12,31,12,80.0
Generator,2033,12,31,12,80.0
Generator,2034,12,31,12,80.0
Generator,2035,12,31,12,80.0
Generator,2036,12,31,12,80.0
Generator,2037,12,31,12,80.0
Generator,2038,12,31,12,80.0
Generator,2039,12,31,12,80.0
Generator,2040,12,31,12,80.0
Generator,2041,12,31,12,80.0
Generator,2042,12,31,12,80.0
Generator,2043,12,31,12,80.0
Generator,2044,12,31,12,80.0
Generator,2045,12,31,12,80.0
Generator,2046,12,31,12,80.0
Generator,2047,12,31,12,80.0
Generator,2048,12,31,12,80.0
Generator,2049,12,31,12,80.0
Generator,2050,12,31,12,80.0
Generator,2051,12,31,12,80.0
Generator,2052,12,31,12,80.0
Generator,2023,12,31,12,24.0
Generator,2024,12,31,12,24.0
Generator,2025,12,31,12,24.0
Generator,2026,12,31,12,24.0
Generator,2027,12,31,12,24.0
Generator,2028,12,31,12,24.0
Generator,2029,12,31,12,24.0
Generator,2030,12,31,12,24.0
Generator,2031,12,31,12,24.0
Generator,2032,12,31,12,24.0
Generator,2033,12,31,12,24.0
Generator,2034,12,31,12,24.0
Generator,2035,12,31,12,24.0
Generator,2036,12,31,12,24.0
Generator,2037,12,31,12,24.0
Generator,2038,12,31,12,24.0
Generator,2039,12,31,12,24.0
Generator,2040,12,31,12,24.0
Generator,2041,12,31,12,24.0
Generator,2042,12,31,12,24.0
Generator,2043,12,31,12,24.0
Generator,2044,12,31,12,24.0
Generator,2045,12,31,12,24.0
Generator,2046,12,31,12,24.0
Generator,2047,12,31,12,24.0
Generator,2048,12,31,12,24.0
Generator,2049,12,31,12,24.0
Generator,2050,12,31,12,24.0
Generator,2051,12,31,12,24.0
Generator,2052,12,31,12,24.0
Generator,2023,12,31,12,165.0
Generator,2024,12,31,12,165.0
Generator,2025,12,31,12,165.0
Generator,2026,12,31,12,165.0
Generator,2027,12,31,12,165.0
Generator,2028,12,31,12,165.0
Generator,2029,12,31,12,165.0
Generator,2030,12,31,12,165.0
Generator,2031,12,31,12,165.0
Generator,2032,12,31,12,165.0
Generator,2033,12,31,12,165.0
Generator,2034,12,31,12,165.0
Generator,2035,12,31,12,165.0
Generator,2036,12,31,12,165.0
Generator,2037,12,31,12,165.0
Generator,2038,12,31,12,165.0
Generator,2039,12,31,12,165.0
Generator,2040,12,31,12,165.0
Generator,2041,12,31,12,165.0
Generator,2042,12,31,12,165.0
Generator,2043,12,31,12,165.0
Generator,2044,12,31,12,165.0
Generator,2045,12,31,12,165.0
Generator,2046,12,31,12,165.0
Generator,2047,12,31,12,165.0
Generator,2048,12,31,12,165.0
Generator,2049,12,31,12,165.0
Generator,2050,12,31,12,165.0
Generator,2051,12,31,12,165.0
Generator,2052,12,31,12,165.0
Generator,2023,12,31,12,180.0
Generator,2024,12,31,12,180.0
Generator,2025,12,31,12,180.0
Generator,2026,12,31,12,180.0
Generator,2027,12,31,12,180.0
Generator,2028,12,31,12,180.0
Generator,2029,12,31,12,180.0
Generator,2030,12,31,12,180.0
Generator,2031,12,31,12,180.0
Generator,2032,12,31,12,180.0
Generator,2033,12,31,12,180.0
Generator,2034,12,31,12,180.0
Generator,2035,12,31,12,180.0
Generator,2036,12,31,12,180.0
Generator,2037,12,31,12,180.0
Generator,2038,12,31,12,180.0
Generator,2039,12,31,12,180.0
Generator,2040,12,31,12,180.0
Generator,2041,12,31,12,180.0
Generator,2042,12,31,12,180.0
Generator,2043,12,31,12,180.0
Generator,2044,12,31,12,180.0
Generator,2045,12,31,12,180.0
Generator,2046,12,31,12,180.0
Generator,2047,12,31,12,180.0
Generator,2048,12,31,12,180.0
Generator,2049,12,31,12,180.0
Generator,2050,12,31,12,180.0
Generator,2051,12,31,12,180.0
Generator,2052,12,31,12,180.0
Generator,2023,12,31,12,28.2
Generator,2024,12,31,12,28.2
Generator,2025,12,31,12,28.2
Generator,2026,12,31,12,28.2
Generator,2027,12,31,12,28.2
Generator,2028,12,31,12,28.2
Generator,2029,12,31,12,28.2
Generator,2030,12,31,12,28.2
Generator,2031,12,31,12,28.2
Generator,2032,12,31,12,28.2
Generator,2033,12,31,12,28.2
Generator,2034,12,31,12,28.2
Generator,2035,12,31,12,28.2
Generator,2036,12,31,12,28.2
Generator,2037,12,31,12,28.2
Generator,2038,12,31,12,28.2
Generator,2039,12,31,12,28.2
Generator,2040,12,31,12,28.2
Generator,2041,12,31,12,28.2
Generator,2042,12,31,12,28.2
Generator,2043,12,31,12,28.2
Generator,2044,12,31,12,28.2
Generator,2045,12,31,12,28.2
Generator,2046,12,31,12,28.2
Generator,2047,12,31,12,28.2
Generator,2048,12,31,12,28.2
Generator,2049,12,31,12,28.2
Generator,2050,12,31,12,28.2
Generator,2051,12,31,12,0.0
Generator,2052,12,31,12,0.0
Generator,2023,12,31,12,27.9
Generator,2024,12,31,12,27.9
Generator,2025,12,31,12,27.9
Generator,2026,12,31,12,27.9
Generator,2027,12,31,12,27.9
Generator,2028,12,31,12,27.9
Generator,2029,12,31,12,27.9
Generator,2030,12,31,12,27.9
Generator,2031,12,31,12,27.9
Generator,2032,12,31,12,27.9
Generator,2033,12,31,12,27.9
Generator,2034,12,31,12,27.9
Generator,2035,12,31,12,27.9
Generator,2036,12,31,12,27.9
Generator,2037,12,31,12,27.9
Generator,2038,12,31,12,27.9
Generator,2039,12,31,12,27.9
Generator,2040,12,31,12,27.9
Generator,2041,12,31,12,27.9
Generator,2042,12,31,12,27.9
Generator,2043,12,31,12,27.9
Generator,2044,12,31,12,27.9
Generator,2045,12,31,12,27.9
Generator,2046,12,31,12,27.9
Generator,2047,12,31,12,27.9
Generator,2048,12,31,12,27.9
Generator,2049,12,31,12,27.9
Generator,2050,12,31,12,27.9
Generator,2051,12,31,12,0.0
Generator,2052,12,31,12,0.0
Generator,2023,12,31,12,41.0
Generator,2024,12,31,12,41.0
Generator,2025,12,31,12,41.0
Generator,2026,12,31,12,41.0
Generator,2027,12,31,12,41.0
Generator,2028,12,31,12,41.0
Generator,2029,12,31,12,41.0
Generator,2030,12,31,12,41.0
Generator,2031,12,31,12,41.0
Generator,2032,12,31,12,41.0
Generator,2033,12,31,12,41.0
Generator,2034,12,31,12,41.0
Generator,2035,12,31,12,41.0
Generator,2036,12,31,12,41.0
Generator,2037,12,31,12,41.0
Generator,2038,12,31,12,41.0
Generator,2039,12,31,12,41.0
Generator,2040,12,31,12,41.0
Generator,2041,12,31,12,41.0
Generator,2042,12,31,12,41.0
Generator,2043,12,31,12,41.0
Generator,2044,12,31,12,41.0
Generator,2045,12,31,12,41.0
Generator,2046,12,31,12,41.0
Generator,2047,12,31,12,41.0
Generator,2048,12,31,12,41.0
Generator,2049,12,31,12,41.0
Generator,2050,12,31,12,41.0
Generator,2051,12,31,12,41.0
Generator,2052,12,31,12,41.0
Generator,2023,12,31,12,64.0
Generator,2024,12,31,12,64.0
Generator,2025,12,31,12,64.0
Generator,2026,12,31,12,64.0
Generator,2027,12,31,12,64.0
Generator,2028,12,31,12,64.0
Generator,2029,12,31,12,64.0
Generator,2030,12,31,12,64.0
Generator,2031,12,31,12,64.0
Generator,2032,12,31,12,64.0
Generator,2033,12,31,12,64.0
Generator,2034,12,31,12,64.0
Generator,2035,12,31,12,64.0
Generator,2036,12,31,12,64.0
Generator,2037,12,31,12,64.0
Generator,2038,12,31,12,64.0
Generator,2039,12,31,12,64.0
Generator,2040,12,31,12,64.0
Generator,2041,12,31,12,64.0
Generator,2042,12,31,12,64.0
Generator,2043,12,31,12,64.0
Generator,2044,12,31,12,64.0
Generator,2045,12,31,12,64.0
Generator,2046,12,31,12,64.0
Generator,2047,12,31,12,64.0
Generator,2048,12,31,12,64.0
Generator,2049,12,31,12,64.0
Generator,2050,12,31,12,64.0
Generator,2051,12,31,12,64.0
Generator,2052,12,31,12,64.0
Generator,2023,12,31,12,16.5
Generator,2024,12,31,12,16.5
Generator,2025,12,31,12,16.5
Generator,2026,12,31,12,16.5
Generator,2027,12,31,12,16.5
Generator,2028,12,31,12,16.5
Generator,2029,12,31,12,16.5
Generator,2030,12,31,12,16.5
Generator,2031,12,31,12,16.5
Generator,2032,12,31,12,16.5
Generator,2033,12,31,12,16.5
Generator,2034,12,31,12,16.5
Generator,2035,12,31,12,16.5
Generator,2036,12,31,12,16.5
Generator,2037,12,31,12,16.5
Generator,2038,12,31,12,16.5
Generator,2039,12,31,12,16.5
Generator,2040,12,31,12,16.5
Generator,2041,12,31,12,16.5
Generator,2042,12,31,12,16.5
Generator,2043,12,31,12,16.5
Generator,2044,12,31,12,16.5
Generator,2045,12,31,12,16.5
Generator,2046,12,31,12,16.5
Generator,2047,12,31,12,16.5
Generator,2048,12,31,12,16.5
Generator,2049,12,31,12,16.5
Generator,2050,12,31,12,16.5
Generator,2051,12,31,12,16.5
Generator,2052,12,31,12,16.5
Generator,2023,12,31,12,115.4
Generator,2024,12,31,12,115.4
Generator,2025,12,31,12,115.4
Generator,2026,12,31,12,115.4
Generator,2027,12,31,12,115.4
Generator,2028,12,31,12,115.4
Generator,2029,12,31,12,115.4
Generator,2030,12,31,12,115.4
Generator,2031,12,31,12,115.4
Generator,2032,12,31,12,115.4
Generator,2033,12,31,12,115.4
Generator,2034,12,31,12,115.4
Generator,2035,12,31,12,115.4
Generator,2036,12,31,12,115.4
Generator,2037,12,31,12,115.4
Generator,2038,12,31,12,115.4
Generator,2039,12,31,12,115.4
Generator,2040,12,31,12,115.4
Generator,2041,12,31,12,115.4
Generator,2042,12,31,12,115.4
Generator,2043,12,31,12,115.4
Generator,2044,12,31,12,115.4
Generator,2045,12,31,12,115.4
Generator,2046,12,31,12,115.4
Generator,2047,12,31,12,115.4
Generator,2048,12,31,12,115.4
Generator,2049,12,31,12,115.4
Generator,2050,12,31,12,115.4
Generator,2051,12,31,12,115.4
Generator,2052,12,31,12,115.4
Generator,2023,12,31,12,115.4
Generator,2024,12,31,12,115.4
Generator,2025,12,31,12,115.4
Generator,2026,12,31,12,115.4
Generator,2027,12,31,12,115.4
Generator,2028,12,31,12,115.4
Generator,2029,12,31,12,115.4
Generator,2030,12,31,12,115.4
Generator,2031,12,31,12,115.4
Generator,2032,12,31,12,115.4
Generator,2033,12,31,12,115.4
Generator,2034,12,31,12,115.4
Generator,2035,12,31,12,115.4
Generator,2036,12,31,12,115.4
Generator,2037,12,31,12,115.4
Generator,2038,12,31,12,115.4
Generator,2039,12,31,12,115.4
Generator,2040,12,31,12,115.4
Generator,2041,12,31,12,115.4
Generator,2042,12,31,12,115.4
Generator,2043,12,31,12,115.4
Generator,2044,12,31,12,115.4
Generator,2045,12,31,12,115.4
Generator,2046,12,31,12,115.4
Generator,2047,12,31,12,115.4
Generator,2048,12,31,12,115.4
Generator,2049,12,31,12,115.4
Generator,2050,12,31,12,115.4
Generator,2051,12,31,12,115.4
Generator,2052,12,31,12,115.4
Generator,2023,12,31,12,20.0
Generator,2024,12,31,12,20.0
Generator,2025,12,31,12,20.0
Generator,2026,12,31,12,20.0
Generator,2027,12,31,12,20.0
Generator,2028,12,31,12,20.0
Generator,2029,12,31,12,20.0
Generator,2030,12,31,12,20.0
Generator,2031,12,31,12,20.0
Generator,2032,12,31,12,20.0
Generator,2033,12,31,12,20.0
Generator,2034,12,31,12,20.0
Generator,2035,12,31,12,20.0
Generator,2036,12,31,12,20.0
Generator,2037,12,31,12,20.0
Generator,2038,12,31,12,20.0
Generator,2039,12,31,12,20.0
Generator,2040,12,31,12,20.0
Generator,2041,12,31,12,20.0
Generator,2042,12,31,12,20.0
Generator,2043,12,31,12,20.0
Generator,2044,12,31,12,20.0
Generator,2045,12,31,12,20.0
Generator,2046,12,31,12,20.0
Generator,2047,12,31,12,20.0
Generator,2048,12,31,12,20.0
Generator,2049,12,31,12,20.0
Generator,2050,12,31,12,20.0
Generator,2051,12,31,12,20.0
Generator,2052,12,31,12,20.0
Generator,2023,12,31,12,99.0
Generator,2024,12,31,12,99.0
Generator,2025,12,31,12,99.0
Generator,2026,12,31,12,99.0
Generator,2027,12,31,12,99.0
Generator,2028,12,31,12,99.0
Generator,2029,12,31,12,99.0
Generator,2030,12,31,12,99.0
Generator,2031,12,31,12,99.0
Generator,2032,12,31,12,99.0
Generator,2033,12,31,12,99.0
Generator,2034,12,31,12,99.0
Generator,2035,12,31,12,99.0
Generator,2036,12,31,12,99.0
Generator,2037,12,31,12,99.0
Generator,2038,12,31,12,99.0
Generator,2039,12,31,12,99.0
Generator,2040,12,31,12,99.0
Generator,2041,12,31,12,99.0
Generator,2042,12,31,12,99.0
Generator,2043,12,31,12,99.0
Generator,2044,12,31,12,99.0
Generator,2045,12,31,12,99.0
Generator,2046,12,31,12,99.0
Generator,2047,12,31,12,99.0
Generator,2048,12,31,12,99.0
Generator,2049,12,31,12,99.0
Generator,2050,12,31,12,99.0
Generator,2051,12,31,12,99.0
Generator,2052,12,31,12,99.0
Generator,2023,12,31,12,504.0
Generator,2024,12,31,12,504.0
Generator,2025,12,31,12,504.0
Generator,2026,12,31,12,504.0
Generator,2027,12,31,12,504.0
Generator,2028,12,31,12,504.0
Generator,2029,12,31,12,504.0
Generator,2030,12,31,12,504.0
Generator,2031,12,31,12,504.0
Generator,2032,12,31,12,504.0
Generator,2033,12,31,12,504.0
Generator,2034,12,31,12,504.0
Generator,2035,12,31,12,504.0
Generator,2036,12,31,12,504.0
Generator,2037,12,31,12,504.0
Generator,2038,12,31,12,504.0
Generator,2039,12,31,12,504.0
Generator,2040,12,31,12,504.0
Generator,2041,12,31,12,504.0
Generator,2042,12,31,12,504.0
Generator,2043,12,31,12,504.0
Generator,2044,12,31,12,504.0
Generator,2045,12,31,12,504.0
Generator,2046,12,31,12,504.0
Generator,2047,12,31,12,504.0
Generator,2048,12,31,12,504.0
Generator,2049,12,31,12,504.0
Generator,2050,12,31,12,504.0
Generator,2051,12,31,12,504.0
Generator,2052,12,31,12,504.0
Generator,2023,12,31,12,11.0
Generator,2024,12,31,12,11.0
Generator,2025,12,31,12,11.0
Generator,2026,12,31,12,11.0
Generator,2027,12,31,12,11.0
Generator,2028,12,31,12,11.0
Generator,2029,12,31,12,11.0
Generator,2030,12,31,12,11.0
Generator,2031,12,31,12,11.0
Generator,2032,12,31,12,11.0
Generator,2033,12,31,12,11.0
Generator,2034,12,31,12,11.0
Generator,2035,12,31,12,11.0
Generator,2036,12,31,12,11.0
Generator,2037,12,31,12,11.0
Generator,2038,12,31,12,11.0
Generator,2039,12,31,12,11.0
Generator,2040,12,31,12,11.0
Generator,2041,12,31,12,11.0
Generator,2042,12,31,12,11.0
Generator,2043,12,31,12,11.0
Generator,2044,12,31,12,11.0
Generator,2045,12,31,12,11.0
Generator,2046,12,31,12,11.0
Generator,2047,12,31,12,11.0
Generator,2048,12,31,12,11.0
Generator,2049,12,31,12,11.0
Generator,2050,12,31,12,11.0
Generator,2051,12,31,12,11.0
Generator,2052,12,31,12,11.0
Generator,2023,12,31,12,9.0
Generator,2024,12,31,12,9.0
Generator,2025,12,31,12,9.0
Generator,2026,12,31,12,9.0
Generator,2027,12,31,12,9.0
Generator,2028,12,31,12,9.0
Generator,2029,12,31,12,9.0
Generator,2030,12,31,12,9.0
Generator,2031,12,31,12,9.0
Generator,2032,12,31,12,9.0
Generator,2033,12,31,12,9.0
Generator,2034,12,31,12,9.0
Generator,2035,12,31,12,9.0
Generator,2036,12,31,12,9.0
Generator,2037,12,31,12,9.0
Generator,2038,12,31,12,9.0
Generator,2039,12,31,12,9.0
Generator,2040,12,31,12,9.0
Generator,2041,12,31,12,9.0
Generator,2042,12,31,12,9.0
Generator,2043,12,31,12,9.0
Generator,2044,12,31,12,9.0
Generator,2045,12,31,12,9.0
Generator,2046,12,31,12,9.0
Generator,2047,12,31,12,9.0
Generator,2048,12,31,12,9.0
Generator,2049,12,31,12,9.0
Generator,2050,12,31,12,9.0
Generator,2051,12,31,12,9.0
Generator,2052,12,31,12,9.0
Generator,2023,12,31,12,10.0
Generator,2024,12,31,12,10.0
Generator,2025,12,31,12,10.0
Generator,2026,12,31,12,10.0
Generator,2027,12,31,12,10.0
Generator,2028,12,31,12,10.0
Generator,2029,12,31,12,10.0
Generator,2030,12,31,12,10.0
Generator,2031,12,31,12,10.0
Generator,2032,12,31,12,10.0
Generator,2033,12,31,12,10.0
Generator,2034,12,31,12,10.0
Generator,2035,12,31,12,10.0
Generator,2036,12,31,12,10.0
Generator,2037,12,31,12,10.0
Generator,2038,12,31,12,10.0
Generator,2039,12,31,12,10.0
Generator,2040,12,31,12,10.0
Generator,2041,12,31,12,10.0
Generator,2042,12,31,12,10.0
Generator,2043,12,31,12,10.0
Generator,2044,12,31,12,10.0
Generator,2045,12,31,12,10.0
Generator,2046,12,31,12,10.0
Generator,2047,12,31,12,10.0
Generator,2048,12,31,12,10.0
Generator,2049,12,31,12,10.0
Generator,2050,12,31,12,10.0
Generator,2051,12,31,12,10.0
Generator,2052,12,31,12,10.0
Generator,2023,12,31,12,48.0
Generator,2024,12,31,12,48.0
Generator,2025,12,31,12,48.0
Generator,2026,12,31,12,48.0
Generator,2027,12,31,12,48.0
Generator,2028,12,31,12,48.0
Generator,2029,12,31,12,48.0
Generator,2030,12,31,12,48.0
Generator,2031,12,31,12,48.0
Generator,2032,12,31,12,48.0
Generator,2033,12,31,12,48.0
Generator,2034,12,31,12,48.0
Generator,2035,12,31,12,48.0
Generator,2036,12,31,12,48.0
Generator,2037,12,31,12,48.0
Generator,2038,12,31,12,48.0
Generator,2039,12,31,12,48.0
Generator,2040,12,31,12,48.0
Generator,2041,12,31,12,48.0
Generator,2042,12,31,12,48.0
Generator,2043,12,31,12,48.0
Generator,2044,12,31,12,48.0
Generator,2045,12,31,12,48.0
Generator,2046,12,31,12,48.0
Generator,2047,12,31,12,48.0
Generator,2048,12,31,12,48.0
Generator,2049,12,31,12,48.0
Generator,2050,12,31,12,48.0
Generator,2051,12,31,12,48.0
Generator,2052,12,31,12,48.0
Generator,2023,12,31,12,45.0
Generator,2024,12,31,12,45.0
Generator,2025,12,31,12,45.0
Generator,2026,12,31,12,45.0
Generator,2027,12,31,12,45.0
Generator,2028,12,31,12,45.0
Generator,2029,12,31,12,45.0
Generator,2030,12,31,12,45.0
Generator,2031,12,31,12,45.0
Generator,2032,12,31,12,45.0
Generator,2033,12,31,12,45.0
Generator,2034,12,31,12,45.0
Generator,2035,12,31,12,45.0
Generator,2036,12,31,12,45.0
Generator,2037,12,31,12,45.0
Generator,2038,12,31,12,45.0
Generator,2039,12,31,12,45.0
Generator,2040,12,31,12,45.0
Generator,2041,12,31,12,45.0
Generator,2042,12,31,12,45.0
Generator,2043,12,31,12,45.0
Generator,2044,12,31,12,45.0
Generator,2045,12,31,12,45.0
Generator,2046,12,31,12,45.0
Generator,2047,12,31,12,45.0
Generator,2048,12,31,12,45.0
Generator,2049,12,31,12,45.0
Generator,2050,12,31,12,45.0
Generator,2051,12,31,12,45.0
Generator,2052,12,31,12,45.0
Generator,2023,12,31,12,45.0
Generator,2024,12,31,12,45.0
Generator,2025,12,31,12,45.0
Generator,2026,12,31,12,45.0
Generator,2027,12,31,12,45.0
Generator,2028,12,31,12,45.0
Generator,2029,12,31,12,45.0
Generator,2030,12,31,12,45.0
Generator,2031,12,31,12,45.0
Generator,2032,12,31,12,45.0
Generator,2033,12,31,12,45.0
Generator,2034,12,31,12,45.0
Generator,2035,12,31,12,45.0
Generator,2036,12,31,12,45.0
Generator,2037,12,31,12,45.0
Generator,2038,12,31,12,45.0
Generator,2039,12,31,12,45.0
Generator,2040,12,31,12,45.0
Generator,2041,12,31,12,45.0
Generator,2042,12,31,12,45.0
Generator,2043,12,31,12,45.0
Generator,2044,12,31,12,45.0
Generator,2045,12,31,12,45.0
Generator,2046,12,31,12,45.0
Generator,2047,12,31,12,45.0
Generator,2048,12,31,12,45.0
Generator,2049,12,31,12,45.0
Generator,2050,12,31,12,45.0
Generator,2051,12,31,12,45.0
Generator,2052,12,31,12,45.0
Generator,2023,12,31,12,46.0
Generator,2024,12,31,12,46.0
Generator,2025,12,31,12,46.0
Generator,2026,12,31,12,46.0
Generator,2027,12,31,12,46.0
Generator,2028,12,31,12,46.0
Generator,2029,12,31,12,46.0
Generator,2030,12,31,12,46.0
Generator,2031,12,31,12,46.0
Generator,2032,12,31,12,46.0
Generator,2033,12,31,12,46.0
Generator,2034,12,31,12,46.0
Generator,2035,12,31,12,46.0
Generator,2036,12,31,12,46.0
Generator,2037,12,31,12,46.0
Generator,2038,12,31,12,46.0
Generator,2039,12,31,12,46.0
Generator,2040,12,31,12,46.0
Generator,2041,12,31,12,46.0
Generator,2042,12,31,12,46.0
Generator,2043,12,31,12,46.0
Generator,2044,12,31,12,46.0
Generator,2045,12,31,12,46.0
Generator,2046,12,31,12,46.0
Generator,2047,12,31,12,46.0
Generator,2048,12,31,12,46.0
Generator,2049,12,31,12,46.0
Generator,2050,12,31,12,46.0
Generator,2051,12,31,12,46.0
Generator,2052,12,31,12,46.0
Generator,2023,12,31,12,170.0
Generator,2024,12,31,12,170.0
Generator,2025,12,31,12,170.0
Generator,2026,12,31,12,170.0
Generator,2027,12,31,12,170.0
Generator,2028,12,31,12,170.0
Generator,2029,12,31,12,170.0
Generator,2030,12,31,12,170.0
Generator,2031,12,31,12,170.0
Generator,2032,12,31,12,170.0
Generator,2033,12,31,12,170.0
Generator,2034,12,31,12,170.0
Generator,2035,12,31,12,170.0
Generator,2036,12,31,12,170.0
Generator,2037,12,31,12,170.0
Generator,2038,12,31,12,170.0
Generator,2039,12,31,12,170.0
Generator,2040,12,31,12,170.0
Generator,2041,12,31,12,170.0
Generator,2042,12,31,12,170.0
Generator,2043,12,31,12,170.0
Generator,2044,12,31,12,170.0
Generator,2045,12,31,12,170.0
Generator,2046,12,31,12,170.0
Generator,2047,12,31,12,170.0
Generator,2048,12,31,12,170.0
Generator,2049,12,31,12,170.0
Generator,2050,12,31,12,170.0
Generator,2051,12,31,12,170.0
Generator,2052,12,31,12,170.0
Generator,2023,12,31,12,88.0
Generator,2024,12,31,12,88.0
Generator,2025,12,31,12,88.0
Generator,2026,12,31,12,88.0
Generator,2027,12,31,12,88.0
Generator,2028,12,31,12,88.0
Generator,2029,12,31,12,88.0
Generator,2030,12,31,12,88.0
Generator,2031,12,31,12,88.0
Generator,2032,12,31,12,88.0
Generator,2033,12,31,12,88.0
Generator,2034,12,31,12,88.0
Generator,2035,12,31,12,88.0
Generator,2036,12,31,12,88.0
Generator,2037,12,31,12,88.0
Generator,2038,12,31,12,88.0
Generator,2039,12,31,12,88.0
Generator,2040,12,31,12,88.0
Generator,2041,12,31,12,88.0
Generator,2042,12,31,12,88.0
Generator,2043,12,31,12,88.0
Generator,2044,12,31,12,88.0
Generator,2045,12,31,12,88.0
Generator,2046,12,31,12,88.0
Generator,2047,12,31,12,88.0
Generator,2048,12,31,12,88.0
Generator,2049,12,31,12,88.0
Generator,2050,12,31,12,88.0
Generator,2051,12,31,12,88.0
Generator,2052,12,31,12,88.0
Generator,2023,12,31,12,18.0
Generator,2024,12,31,12,18.0
Generator,2025,12,31,12,18.0
Generator,2026,12,31,12,18.0
Generator,2027,12,31,12,18.0
Generator,2028,12,31,12,18.0
Generator,2029,12,31,12,18.0
Generator,2030,12,31,12,18.0
Generator,2031,12,31,12,18.0
Generator,2032,12,31,12,18.0
Generator,2033,12,31,12,18.0
Generator,2034,12,31,12,18.0
Generator,2035,12,31,12,18.0
Generator,2036,12,31,12,18.0
Generator,2037,12,31,12,18.0
Generator,2038,12,31,12,18.0
Generator,2039,12,31,12,18.0
Generator,2040,12,31,12,18.0
Generator,2041,12,31,12,18.0
Generator,2042,12,31,12,18.0
Generator,2043,12,31,12,18.0
Generator,2044,12,31,12,18.0
Generator,2045,12,31,12,18.0
Generator,2046,12,31,12,18.0
Generator,2047,12,31,12,18.0
Generator,2048,12,31,12,18.0
Generator,2049,12,31,12,18.0
Generator,2050,12,31,12,18.0
Generator,2051,12,31,12,18.0
Generator,2052,12,31,12,18.0
Generator,2023,12,31,12,80.0
Generator,2024,12,31,12,80.0
Generator,2025,12,31,12,80.0
Generator,2026,12,31,12,80.0
Generator,2027,12,31,12,80.0
Generator,2028,12,31,12,80.0
Generator,2029,12,31,12,80.0
Generator,2030,12,31,12,80.0
Generator,2031,12,31,12,80.0
Generator,2032,12,31,12,80.0
Generator,2033,12,31,12,80.0
Generator,2034,12,31,12,80.0
Generator,2035,12,31,12,80.0
Generator,2036,12,31,12,80.0
Generator,2037,12,31,12,80.0
Generator,2038,12,31,12,80.0
Generator,2039,12,31,12,80.0
Generator,2040,12,31,12,80.0
Generator,2041,12,31,12,80.0
Generator,2042,12,31,12,80.0
Generator,2043,12,31,12,80.0
Generator,2044,12,31,12,80.0
Generator,2045,12,31,12,80.0
Generator,2046,12,31,12,80.0
Generator,2047,12,31,12,80.0
Generator,2048,12,31,12,80.0
Generator,2049,12,31,12,80.0
Generator,2050,12,31,12,80.0
Generator,2051,12,31,12,80.0
Generator,2052,12,31,12,80.0
